experiment_id,item_id,category,question,expected_answer,answer,answer_correctness,faithfulness,citation_precision,validation_status,human_correctness_1_to_5,human_faithfulness_1_to_5,human_citation_valid,reviewer_notes
A,qa_remote_laptop_base,answerable,Which computer must be used for remote work?,Employees must use a company-managed laptop for remote work; personal computers may not access company systems.,Employees must use a company-managed laptop for remote work.,0.49537037037037035,1.0,0.0,NOT_RUN,,,,
A,qa_procurement_rfp_base,exact_policy,When is a formal RFP required?,"A purchase above USD 25,000 requires a formal request for proposals managed by Strategic Sourcing.","A formal RFP is required when a purchase exceeds USD 25,000.",0.25,1.0,0.0,NOT_RUN,,,,
A,qa_remote_laptop_paraphrase,paraphrase,Can routine remote duties be performed on a personal laptop?,Employees must use a company-managed laptop for remote work; personal computers may not access company systems.,I don't have enough evidence in the indexed documents to answer that question.,0.0,,0.0,NOT_RUN,,,,
B,qa_remote_workspace_base,answerable,What privacy measures are required for remote meetings?,Remote workers must use a private workspace or a headset that prevents confidential conversations from being overheard.,The passages do not specify specific privacy measures required for remote meetings.,0.034482758620689655,0.0,0.0,NOT_RUN,,,,
B,qa_remote_days_base,exact_policy,What is the usual maximum number of remote days per week?,An approved hybrid employee may normally work remotely up to 3 days per workweek.,The usual maximum number of remote days per week is 3 days.,0.24038461538461536,0.0,0.0,NOT_RUN,,,,
B,qa_procurement_retention_paraphrase,paraphrase,What is the retention period for sourcing and contract files following expiration?,Procurement records must be retained for 7 years after contract expiration or termination.,I don't have enough evidence in the indexed documents to answer that question.,0.0,,0.0,NOT_RUN,,,,
C,qa_remote_laptop_base,answerable,Which computer must be used for remote work?,Employees must use a company-managed laptop for remote work; personal computers may not access company systems.,Employees must use a company-managed laptop for remote work.,0.49537037037037035,1.0,0.0,NOT_RUN,,,,
C,qa_remote_days_base,exact_policy,What is the usual maximum number of remote days per week?,An approved hybrid employee may normally work remotely up to 3 days per workweek.,The usual maximum number of remote days per week is 3 days.,0.24038461538461536,0.0,0.0,NOT_RUN,,,,
C,qa_remote_laptop_paraphrase,paraphrase,Can routine remote duties be performed on a personal laptop?,Employees must use a company-managed laptop for remote work; personal computers may not access company systems.,I don't have enough evidence in the indexed documents to answer that question.,0.0,,0.0,NOT_RUN,,,,
D,qa_remote_laptop_base,answerable,Which computer must be used for remote work?,Employees must use a company-managed laptop for remote work; personal computers may not access company systems.,I don't have enough evidence in the indexed documents to answer that question.,0.0,,0.0,INSUFFICIENT_EVIDENCE,,,,
D,qa_procurement_retention_base,exact_policy,How long are procurement records retained after a contract ends?,Procurement records must be retained for 7 years after contract expiration or termination.,I don't have enough evidence in the indexed documents to answer that question.,0.0,,0.0,INSUFFICIENT_EVIDENCE,,,,
D,qa_bcp_updates_paraphrase,paraphrase,What is the status-update interval during the highest-severity continuity event?,"For a Severity 1 continuity incident, internal status updates must be issued at least every 60 minutes.",I don't have enough evidence in the indexed documents to answer that question.,0.0,,0.0,INSUFFICIENT_EVIDENCE,,,,
A,qa_bcp_spokesperson_base,answerable,Who may speak externally during a continuity incident?,Only the Crisis Communications Lead or a formally delegated spokesperson may make external statements about a continuity incident.,Only the Crisis Communications Lead or a formally delegated spokesperson may speak externally during a continuity incident.,0.7333333333333333,1.0,0.0,NOT_RUN,,,,
A,qa_remote_days_base,exact_policy,What is the usual maximum number of remote days per week?,An approved hybrid employee may normally work remotely up to 3 days per workweek.,The usual maximum number of remote days per week is up to 3 days.,0.3035714285714286,0.0,0.0,NOT_RUN,,,,
A,qa_bcp_notification_paraphrase,paraphrase,What is the employee-alert deadline once continuity procedures are activated?,Mass notification must begin within 15 minutes after the business continuity plan is activated.,I don't have enough evidence in the indexed documents to answer that question.,0.03571428571428571,,0.0,NOT_RUN,,,,
B,qa_remote_laptop_base,answerable,Which computer must be used for remote work?,Employees must use a company-managed laptop for remote work; personal computers may not access company systems.,Employees must use a company-managed laptop for remote work.,0.49537037037037035,1.0,0.0,NOT_RUN,,,,
B,qa_procurement_rfp_base,exact_policy,When is a formal RFP required?,"A purchase above USD 25,000 requires a formal request for proposals managed by Strategic Sourcing.","A formal Request for Proposals (RFP) is required when a purchase exceeds USD 25,000.",0.489247311827957,1.0,0.0,NOT_RUN,,,,
B,qa_remote_laptop_paraphrase,paraphrase,Can routine remote duties be performed on a personal laptop?,Employees must use a company-managed laptop for remote work; personal computers may not access company systems.,I don't have enough evidence in the indexed documents to answer that question.,0.0,,0.0,NOT_RUN,,,,
C,qa_procurement_signature_base,answerable,Who may sign a supplier contract?,Only an officer listed in the corporate authority matrix may sign a supplier contract; a project role alone does not grant signing authority.,Only an officer listed in the corporate authority matrix may sign a supplier contract.,0.7533783783783784,1.0,0.0,NOT_RUN,,,,
C,qa_procurement_rfp_base,exact_policy,When is a formal RFP required?,"A purchase above USD 25,000 requires a formal request for proposals managed by Strategic Sourcing.",The passages do not explicitly specify when a formal Request for Proposals (RFP) is required.,0.3279569892473118,0.0,0.0,NOT_RUN,,,,
C,qa_travel_cabin_paraphrase,paraphrase,Which cabin may an employee book for a flight lasting less than six hours?,Economy class is required for flight segments shorter than 6 hours.,I don't have enough evidence in the indexed documents to answer that question.,0.0,,0.0,NOT_RUN,,,,
D,qa_procurement_signature_base,answerable,Who may sign a supplier contract?,Only an officer listed in the corporate authority matrix may sign a supplier contract; a project role alone does not grant signing authority.,I don't have enough evidence in the indexed documents to answer that question.,0.05405405405405405,,0.0,INSUFFICIENT_EVIDENCE,,,,
D,qa_travel_mileage_base,exact_policy,What mileage rate applies when a personal vehicle is approved?,Approved use of a personal vehicle is reimbursed at USD 0.67 per business mile.,I don't have enough evidence in the indexed documents to answer that question.,0.0,,0.0,INSUFFICIENT_EVIDENCE,,,,
D,qa_leave_sick_days_paraphrase,paraphrase,What is the annual paid illness leave entitlement?,Regular employees receive 10 paid sick days per calendar year.,I don't have enough evidence in the indexed documents to answer that question.,0.0,,0.0,INSUFFICIENT_EVIDENCE,,,,
A,qa_procurement_signature_base,answerable,Who may sign a supplier contract?,Only an officer listed in the corporate authority matrix may sign a supplier contract; a project role alone does not grant signing authority.,Only an officer listed in the corporate authority matrix may sign a supplier contract.,0.7533783783783784,1.0,0.0,NOT_RUN,,,,
A,qa_bcp_tier2_base,exact_policy,What are the RTO and RPO for Tier 2 services?,Tier 2 important services have a 24-hour recovery time objective and an 8-hour recovery point objective.,"The RTO for Tier 2 services is 24 hours, and the RPO is 8 hours.",0.5568181818181818,1.0,0.0,NOT_RUN,,,,
