from_experiment,to_experiment,metric,baseline,candidate,delta,relative_change_percent,improvement,direction
A,B,recall_at_5,1.0,1.0,0.0,0.0,0.0,higher_is_better
A,B,mrr,1.0,1.0,0.0,0.0,0.0,higher_is_better
A,B,answer_correctness,1.0,1.0,0.0,0.0,0.0,higher_is_better
A,B,faithfulness,1.0,1.0,0.0,0.0,0.0,higher_is_better
A,B,citation_precision,0.0,0.0,0.0,,0.0,higher_is_better
A,B,hallucination,0.0,0.0,0.0,,-0.0,lower_is_better
A,B,total_latency_ms,2647.251,1315.15,-1332.101,-50.320162311771725,1332.101,lower_is_better
A,B,recall_at_3,1.0,1.0,0.0,0.0,0.0,higher_is_better
A,B,recall_at_10,1.0,1.0,0.0,0.0,0.0,higher_is_better
A,B,precision_at_5,0.2,0.2,0.0,0.0,0.0,higher_is_better
A,B,ndcg_at_10,1.0,1.0,0.0,0.0,0.0,higher_is_better
A,B,citation_coverage,0.0,0.0,0.0,,0.0,higher_is_better
A,B,citation_recall,0.0,0.0,0.0,,0.0,higher_is_better
A,B,refusal_correct,1.0,1.0,0.0,0.0,0.0,higher_is_better
A,B,unsupported_claim_rate,0.0,0.0,0.0,,-0.0,lower_is_better
A,B,retrieval_latency_ms,504.713,368.842,-135.87100000000004,-26.920447858485918,135.87100000000004,lower_is_better
A,B,estimated_cost_usd,0.0,0.0,0.0,,-0.0,lower_is_better
B,C,recall_at_5,1.0,1.0,0.0,0.0,0.0,higher_is_better
B,C,mrr,1.0,1.0,0.0,0.0,0.0,higher_is_better
B,C,answer_correctness,1.0,1.0,0.0,0.0,0.0,higher_is_better
B,C,faithfulness,1.0,1.0,0.0,0.0,0.0,higher_is_better
B,C,citation_precision,0.0,0.0,0.0,,0.0,higher_is_better
B,C,hallucination,0.0,0.0,0.0,,-0.0,lower_is_better
B,C,total_latency_ms,1315.15,38832.989,37517.839,2852.7421967075998,-37517.839,lower_is_better
B,C,recall_at_3,1.0,1.0,0.0,0.0,0.0,higher_is_better
B,C,recall_at_10,1.0,1.0,0.0,0.0,0.0,higher_is_better
B,C,precision_at_5,0.2,0.2,0.0,0.0,0.0,higher_is_better
B,C,ndcg_at_10,1.0,1.0,0.0,0.0,0.0,higher_is_better
B,C,citation_coverage,0.0,0.0,0.0,,0.0,higher_is_better
B,C,citation_recall,0.0,0.0,0.0,,0.0,higher_is_better
B,C,refusal_correct,1.0,1.0,0.0,0.0,0.0,higher_is_better
B,C,unsupported_claim_rate,0.0,0.0,0.0,,-0.0,lower_is_better
B,C,retrieval_latency_ms,368.842,37636.06,37267.218,10103.843380092288,-37267.218,lower_is_better
B,C,estimated_cost_usd,0.0,0.0,0.0,,-0.0,lower_is_better
C,D,recall_at_5,1.0,1.0,0.0,0.0,0.0,higher_is_better
C,D,mrr,1.0,1.0,0.0,0.0,0.0,higher_is_better
C,D,answer_correctness,1.0,1.0,0.0,0.0,0.0,higher_is_better
C,D,faithfulness,1.0,1.0,0.0,0.0,0.0,higher_is_better
C,D,citation_precision,0.0,1.0,1.0,,1.0,higher_is_better
C,D,hallucination,0.0,0.0,0.0,,-0.0,lower_is_better
C,D,total_latency_ms,38832.989,3567.174,-35265.815,-90.8140627547367,35265.815,lower_is_better
C,D,recall_at_3,1.0,1.0,0.0,0.0,0.0,higher_is_better
C,D,recall_at_10,1.0,1.0,0.0,0.0,0.0,higher_is_better
C,D,precision_at_5,0.2,0.2,0.0,0.0,0.0,higher_is_better
C,D,ndcg_at_10,1.0,1.0,0.0,0.0,0.0,higher_is_better
C,D,citation_coverage,0.0,1.0,1.0,,1.0,higher_is_better
C,D,citation_recall,0.0,1.0,1.0,,1.0,higher_is_better
C,D,refusal_correct,1.0,1.0,0.0,0.0,0.0,higher_is_better
C,D,unsupported_claim_rate,0.0,0.0,0.0,,-0.0,lower_is_better
C,D,retrieval_latency_ms,37636.06,2668.57,-34967.49,-92.90953941512475,34967.49,lower_is_better
C,D,estimated_cost_usd,0.0,0.0,0.0,,-0.0,lower_is_better
